,champion,gameId,lane,platformId,queue,role,season,timestamp
73,202,4742167086,BOTTOM,KR,420,DUO_CARRY,13,1603693002997
74,202,4742139743,BOTTOM,KR,420,DUO_CARRY,13,1603690694191
75,81,4742107245,BOTTOM,KR,420,DUO_CARRY,13,1603688666943
76,80,4742093172,BOTTOM,KR,420,DUO_SUPPORT,13,1603685950198
77,80,4735801437,BOTTOM,KR,420,DUO_SUPPORT,13,1603452682204
78,80,4735577203,NONE,KR,420,DUO_SUPPORT,13,1603448156342
79,80,4735003750,NONE,KR,420,DUO_SUPPORT,13,1603435739894
80,80,4734935787,BOTTOM,KR,420,DUO_SUPPORT,13,1603432723637
81,113,4734902534,BOTTOM,KR,420,DUO_SUPPORT,13,1603430793061
82,29,4734805648,BOTTOM,KR,420,DUO_CARRY,13,1603427019229
83,80,4734141215,BOTTOM,KR,420,DUO_SUPPORT,13,1603372729289
84,80,4732402501,BOTTOM,KR,420,DUO_SUPPORT,13,1603291630419
85,81,4732353007,BOTTOM,KR,420,DUO_CARRY,13,1603289281634
86,80,4732182503,BOTTOM,KR,420,DUO_SUPPORT,13,1603285953790
87,106,4731913415,BOTTOM,KR,420,DUO_SUPPORT,13,1603283724322
88,201,4731651698,BOTTOM,KR,420,DUO_SUPPORT,13,1603278024895
89,875,4731516833,BOTTOM,KR,420,DUO_SUPPORT,13,1603275800280
90,875,4731250095,MID,KR,420,DUO_SUPPORT,13,1603261917940
91,157,4731077283,BOTTOM,KR,420,DUO_CARRY,13,1603259818671
92,202,4729316358,BOTTOM,KR,420,DUO_CARRY,13,1603175364882
93,202,4729283483,BOTTOM,KR,420,DUO_CARRY,13,1603173665701
94,875,4729270360,BOTTOM,KR,420,SOLO,13,1603172003190
95,80,4729195488,BOTTOM,KR,420,DUO_SUPPORT,13,1603169613401
96,12,4727542196,BOTTOM,KR,420,DUO_SUPPORT,13,1603088594662
97,875,4727443054,BOTTOM,KR,420,DUO_SUPPORT,13,1603083818116
98,80,4727319577,BOTTOM,KR,420,DUO_SUPPORT,13,1603081692773
99,80,4721017639,BOTTOM,KR,420,DUO_SUPPORT,13,1602844937138
0,12,4755244359,BOTTOM,KR,420,DUO_SUPPORT,13,1604218087608
1,497,4755142663,BOTTOM,KR,420,DUO_SUPPORT,13,1604215147150
2,43,4755065806,BOTTOM,KR,420,DUO_SUPPORT,13,1604213430144
3,432,4754981507,NONE,KR,420,DUO_SUPPORT,13,1604212022967
4,117,4754950587,BOTTOM,KR,420,DUO_SUPPORT,13,1604209217795
5,27,4754787019,NONE,KR,450,DUO_SUPPORT,13,1604207716176
6,412,4753824202,BOTTOM,KR,420,SOLO,13,1604159665738
7,80,4753758668,NONE,KR,420,DUO_SUPPORT,13,1604158235049
8,80,4753743019,BOTTOM,KR,420,DUO_SUPPORT,13,1604156720549
9,98,4753604113,TOP,KR,420,SOLO,13,1604154276783
10,58,4753238500,TOP,KR,420,SOLO,13,1604143577275
11,64,4752245430,NONE,KR,450,DUO_SUPPORT,13,1604120131846
12,555,4751681175,BOTTOM,KR,420,DUO_SUPPORT,13,1604077198992
13,516,4751525639,TOP,KR,420,SOLO,13,1604075164954
14,3,4751322080,BOTTOM,KR,420,DUO_SUPPORT,13,1604071195220
15,875,4751145026,NONE,KR,420,DUO_SUPPORT,13,1604069282966
16,875,4751027917,BOTTOM,KR,420,DUO_SUPPORT,13,1604067501393
17,412,4747456945,BOTTOM,KR,420,DUO_SUPPORT,13,1603901043428
18,25,4747421398,BOTTOM,KR,420,DUO_SUPPORT,13,1603898609327
19,36,4747337091,NONE,KR,450,DUO_SUPPORT,13,1603896884158
20,61,4745423504,MID,KR,420,SOLO,13,1603816761810
21,555,4745355920,BOTTOM,KR,420,DUO_SUPPORT,13,1603813931118
22,497,4745294057,BOTTOM,KR,420,DUO_SUPPORT,13,1603812152893
23,497,4741057877,MID,KR,420,DUO_SUPPORT,13,1603631371616
24,99,4740877513,BOTTOM,KR,420,SOLO,13,1603628194637
25,497,4738567183,MID,KR,420,DUO_SUPPORT,13,1603544667744
26,497,4738549753,NONE,KR,420,DUO_SUPPORT,13,1603543426424
27,80,4729993219,BOTTOM,KR,420,DUO_SUPPORT,13,1603199163310
28,25,4729589715,MID,KR,420,SOLO,13,1603189039830
29,497,4729556149,BOTTOM,KR,420,DUO_SUPPORT,13,1603184323699
30,40,4729378002,BOTTOM,KR,420,DUO_SUPPORT,13,1603180061034
31,22,4720258412,NONE,KR,450,DUO_SUPPORT,13,1602825097927
32,235,4718958255,BOTTOM,KR,420,DUO_CARRY,13,1602761184594
33,555,4718589434,BOTTOM,KR,420,DUO_SUPPORT,13,1602756527074
34,111,4718610359,BOTTOM,KR,420,DUO_SUPPORT,13,1602752771930
35,875,4718512156,BOTTOM,KR,420,DUO_SUPPORT,13,1602749236397
36,111,4718453452,MID,KR,420,SOLO,13,1602745535336
37,432,4718318466,BOTTOM,KR,420,DUO_SUPPORT,13,1602743274886
38,350,4718343385,BOTTOM,KR,420,DUO_SUPPORT,13,1602741024059
39,164,4718260154,NONE,KR,450,DUO_SUPPORT,13,1602738886094
