,tier,leaguePoints,summonerId,summonerName,account_id
39,CHALLENGER,913,UnQGDM40VPoWVy0R6Kud-m1r0I1_FhbBx_tYw4Mcv6TTiDg,Practice,pp8kJHSUX1AmUCYkrT82IgtQo_rkh1l1BDLR99_q84NC-v9B7iTlAWOQ
40,CHALLENGER,866,MbzORIJecLWuVn3_c9UkCLkSJfCm0AIt6II3FEuSY2DP5YM,E che sospiri,Jb6uvYyoOUuru5ztLmDVULN1qyLDfVzZrV-LduJ8WCWAq5Q
41,CHALLENGER,1009,xSKhzP4ct1v53IiICw0jh9Ug-ZuALs02X_Uze7O-L-HowEI,한푸 66,iSq0J-p9HGIcrg05XzkF6b1yRzPIHRZysBQEI2ApgdmdA8v4AGTRQ4f3
42,CHALLENGER,905,QHOBZcnCVQuDhVo0hqDYJDHcKXeV8mJgAXY53aFZyYC5-lc,진철수삼촌,W4kFL9YW_sLrVmyl1pzRq6CvOCgclEAa74eWkCImGazupMA
43,CHALLENGER,953,6lKhFSEZpwaRACzbdUJX0ltRg-AbfiT6I0V-3qWV1fL97NY,DRX JUNN,N99YjkcbGS6Vnb42nynK8bh03Vjfn0lneIPheCgwjH1M3kCHlIVXIcrM
44,CHALLENGER,852,8sRiLvDv1a30gLvXGCf6po3B_pbUqBQEHJOYdaXWZWP593I,HLE Baut,qOO6KrqO_4Y7c31Fe7Rok1UD5HoODyvkAE9lTZNkydv6trY
45,CHALLENGER,1050,5ldxAD2OLEHKFXdCLKqP4LJbcESIEnFIQWDUVkb9zwGLl8E,Shadow Patch,F3q09TQbuLkvVBtB5FYEgnx4nNyulaoP3-K4D-Ipdv_BCtmnl4HhiluN
46,CHALLENGER,881,AYPJY2_tyvvW7oPWzNZ6VcHdfATnoDT5GIHxP5AiBKd_GnM,HUYATV aegis,OHTOMxGqUVbG4fNo24uQdjHw2Mq_ZueBzdtdaNo0Sb_cAOs
47,CHALLENGER,893,Fiu-HPBweYkPZZhuvjWP9GN0uaJhK6ybftkWCgcm1_iyey4,kata 1000,LRMfQiKgCsvOQVqDU3D9Lo4oYfZYlhxpz8cWYfd42UikMntUuwuf77Dn
48,CHALLENGER,992,EI7yhwVQzdnPB-CxjrjHpdZLVbJKQPJzqEDlPdGVE9GjszJ9,잘 되기를 모두가,CVgpV1kgdF04111xrL1Nor-CGAXow8qKFMdh24UOEkm3-073UjrqkoHj
